id,user_IXL SS,user_IXL Science,user_IXL Math,user_IXL Reading,user_AR,subgroup_TCAPMathLevel,subGroup_bottom25,subgroup_ell,user_Reflex M,subgroup_lunchStatus,subgroup_specialEd,subgroup_gender,districtId,studentId,studentLevel,year,measurementTypeId,value_lexileStar,value_starReadingUnified,value_starMathUnified,value_acapMathLevel,value_acapMath,value_acapELALevel,value_acapELA,value_acapLexile,value_starReading,value_starMath,value_AcapMathRc2,value_AcapMathRc3,value_AcapMathRc1,value_AcapElaRc8,value_AcapElaRc7,value_AcapElaRc5,value_AcapElaRc4,value_AcapElaRc3,value_AcapElaRc2,value_AcapElaRc6,value_AcapElaRc1,value_acapScienceLevel,value_acapScience,value_AcapMathRc4,value_edulasticMath,value_edulasticELA,value_edulasticScience,value_StudySyncELA,value_AcapSciRc3,value_AcapSciRc2,value_AcapSciRc1,value_edulasticHistory,value_starEarlyLitUnified,value_actMathScore,value_actReadingScore,value_actEnglishScore,value_actCompositeScore,value_actScienceScore,value_StarEarlyLit,value_AcapMathRc5,value_AcapSciRc4,value_AcapElaRc10,value_AcapElaRc9,value_actStemScore,value_acapReadSubscore,value_edulasticUsHistory,value_edulasticAlgebra,value_edulasticGeometry,value_edulasticBio,value_edulasticWH,value_edulasticPhySci,value_edulasticGeography,value_edulasticEnvironmental,value_edulasticAP,value_edulasticGov,value_edulasticCivics,value_edulasticChem,value_edulasticEco,value_edulasticPreCal
7515556,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480149,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,78.66666666666667,84.0,,,,
4933702,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480150,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,74.0,78.0,,,,
4933589,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480151,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,68.75,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,72.0,64.0,,,,
4933724,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480153,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,85.33333333333333,82.0,,,,
7515557,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480154,12.0,2023,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,,,,,,80.0,84.0,,,,
3268680,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480155,11.0,2023,4,,,,,,,,,,,,,,,,,,,,,,,,,,62.66666666666666,,,,,,,,15.0,16.5,13.5,15.5,16.0,,,,,,16.0,,63.25,44.0,,,,,,65.66666666666667,,,,,,
7515784,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480156,11.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,16.0,13.5,15.5,18.0,,,,,,17.0,,86.33333333333333,49.25,,,,,,81.5,,,,,,
4933739,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480160,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,86.0,,,,
7519605,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480161,12.0,2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,82.66666666666667,82.0,,,,
4933590,0,0,2,2,0,0,0,0.0,0,0,0.0,0.0,18,1480162,12.0,2023,1,,,,,,,,,,,,,,,,,,,,,,,,,,71.75,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,80.0,70.0,,,,
